
更多免费直播源，关注微信群lfy4482暗号”加群”
台灣頻道,#genre#
民視,rtmp://59.124.75.138/sat/tv051
民視,http://43.128.9.168/jjtv.php?id=24
民視,https://4gtvfreemobile-mozai.4gtv.tv/z-4Hg7N6vs50yhA6iX9n9elf1ikuJKEcMdR1IKqFOp4%3d/stream2.m3u8?token=q44SHDi8AXE1makMtVkjDw&expires=1632729656&token1=H38SB9bSUWCnbFIT-2H4Yw&expires1=1632758456&refer=MWRmMzMzMzQtMDBkNy00NTA2LWEwYzgtNzI4NzgyZGE1NDYw&y=0
民視,https://4gtvfreemobile-mozai.4gtv.tv/EsGHR5kmmmdGF7ceX4JrxzFGr5EZWyRjqaKVoUJ3Gfk%3d/stream2.m3u8?token=gGyPozlBLrCzgcF_CMv2Tg&expires=1630484776&token1=XVXm7_bwqoA_ltNZssw8aA&expires1=1630513576&refer=ODI4MjVlNDItODhiMy00MDEzLTg4YzktZTk5MmJiM2E5OWU4&y=0
民視,http://50.7.61.147:30080/Entry/ftv
民視,http://185.207.176.189:8080/channels/tw-300/playlist.m3u8
民視,rtmp://161.202.204.248/sat/tv051
民視,rtmp://59.124.75.153/sat/tv051
民視,rtmp://161.202.204.248:1935/sat/tv051
民視,http://seb.sason.top/ptv/ftv.php?id=ms
民視,p5p://fccs.123178.top:9906/6043597b000602c20708576dff009975.ts
民視,p5p://fccs.123178.top:9906/6043597b000602c20708576dff009975.ts
民視新聞台,https://git.io/JgkAb
民視新聞台,http://43.128.9.168/jjtv.php?id=32
民視新聞台,http://iptv5.phoves.com.cn/api/mitv.php?id=32
民視新聞台,http://50.7.61.148:30080/Entry/ftvnews
民視新聞台,https://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
民視新聞台,http://210.61.56.23/hls/ftvtv/index.m3u8
民視新聞台,http://luyutv.com/hdtv.m3u8?token=56178326b1285b53&id=3
民視新聞台,http://luyutv.com/hdtv.m3u8
民視台灣台,https://4gtvfreemobile-mozai.4gtv.tv/0qg0WovcfDMSWMMlCga3nFZYb_aQ-M5Ai-D4Vm2PiLw%3d/stream2.m3u8?token=xI0fLiKy1vem2vPjOlfwFw&expires=1630484837&token1=xVY64k4T75EVLPBtQaDQIw&expires1=1630513637&refer=MmRjZjkxNWEtYTgyZS00MjIxLWE4NTktYzg1Zjc3MGQ1NDM1&y=0
民視台灣台,http://43.128.9.168/jjtv.php?id=26
民視台灣台,http://seb.sason.top/ptv/ftv.php?id=tw
民視台灣台,http://185.207.176.189:8080/channels/tw-304/playlist.m3u8
民視第一台,https://4gtvfreemobile-mozai.4gtv.tv/BS0hPFwEmjNJQjj2oFSy1Z-XQ9JgkjaDBtZQBS7S6B4%3d/stream2.m3u8?token=25j77IK5TofuZcj-JuUCMQ&expires=1632735955&token1=vu3xx42dEIv86AGcv0C74g&expires1=1632764755&refer=ZGQ2ZmNkZTMtYzQyMS00NTYzLTg5MTgtM2RhMjBhZmFhM2Rj&y=0
民視第一台,http://43.128.9.168/jjtv.php?id=25
民視第一台,http://v3948069e.live.126.net/live/epreliwi80996113/29.flv
民視第一台,http://seb.sason.top/ptv/ftv.php?id=dy
民視第一台,http://185.207.176.189:8080/channels/tw-301/playlist.m3u8
